Date,Vehicle_ID,Driver_ID,Route_ID,Origin_City,Destination_City,Planned_Kilometers,Actual_Kilometers,Fuel_Consumed_Liters,Delivery_Time_Hours,Delay_Hours,Cargo_Weight_Tons,On_Time_Delivery,Weather_Conditions,Traffic_Conditions,Comments
2024-04-04,V007,D093,R009,Delhi,Ahmedabad,579,590,99.73,14.68,0.36,9.37,Yes,Rainy,Heavy,Vehicle Breakdown
2024-04-12,V041,D035,R008,Mumbai,Ahmedabad,813,893,178.51,20.88,0.31,14.91,Yes,Stormy,Heavy,Vehicle Breakdown
2024-04-20,V011,D018,R016,Delhi,Nagpur,1000,1002,157.26,26.33,0.78,3.86,Yes,Stormy,Heavy,Vehicle Breakdown
2024-02-07,V044,D065,R002,Chennai,Lucknow,742,764,144.32,14.6,1.25,15.03,No,Clear,Heavy,Traffic Jam
2024-03-07,V036,D068,R009,Delhi,Indore,1019,1032,167.96,27.57,1.11,11.26,No,Rainy,Moderate,Late Departure
2024-03-24,V048,D076,R007,Chennai,Pune,1377,1404,194.42,26.66,2.08,4.59,No,Rainy,Heavy,Late Departure
2024-03-10,V027,D074,R002,Kolkata,Ahmedabad,1075,1121,213.89,21.99,0.72,4.38,Yes,Foggy,Light,Weather Delay
2024-02-14,V001,D043,R007,Delhi,Pune,884,954,139.43,21.0,0.05,11.67,Yes,Rainy,Light,Vehicle Breakdown
2024-02-10,V034,D099,R004,Bangalore,Pune,688,748,110.18,12.64,0.22,12.23,Yes,Foggy,Light,Smooth Delivery
2024-01-22,V017,D087,R013,Hyderabad,Nagpur,1464,1566,238.12,39.76,1.31,13.01,No,Rainy,Heavy,Vehicle Breakdown
2024-01-30,V035,D071,R008,Bangalore,Lucknow,945,1001,137.43,18.74,1.63,5.88,No,Clear,Light,Smooth Delivery
2024-04-26,V022,D018,R014,Bangalore,Lucknow,1303,1316,179.58,24.1,0.12,11.64,Yes,Rainy,Light,Late Departure
2024-03-14,V001,D060,R007,Hyderabad,Surat,1177,1173,206.65,26.09,1.4,2.18,No,Foggy,Heavy,Weather Delay
2024-02-24,V044,D028,R016,Bangalore,Ahmedabad,884,943,126.41,16.28,0.3,12.7,Yes,Clear,Heavy,Late Departure
2024-03-26,V031,D088,R004,Chennai,Jaipur,1184,1200,199.85,25.57,2.29,2.41,No,Foggy,Heavy,Vehicle Breakdown
2024-03-23,V001,D063,R004,Hyderabad,Lucknow,390,427,57.47,7.8,2.14,9.0,No,Foggy,Moderate,Late Departure
